X,Y,Z
-3.166812791290959384e-01,-8.779513315348419500e-01,3.237417984825780026e-02
-2.067020064744265195e-01,-6.032610010335709427e-01,-1.642999885070181298e-01
-5.936284127170979308e-02,-4.119097617918578425e-01,-2.215451397076674545e-01
7.700741888930096035e-02,-1.960900748127075988e-01,-3.197268018273621837e-01
2.266043833876418834e-01,-9.775331361280475972e-03,-3.685457313434493121e-01
4.266556544060382539e-01,6.399047876264982171e-02,-2.290666254660354006e-01
6.720633943866629600e-01,3.657915350822812939e-02,7.968512703033611699e-02
8.838331286366368778e-01,8.420446883758128664e-02,2.628981330746245071e-01
1.195862819919909281e+00,-9.182111895414910019e-02,8.202863927318556625e-01
-5.133830036256031848e-01,-1.116323849324285522e+00,5.125181534548225448e-01
-4.131515053080253574e-01,-8.198890597346569775e-01,2.794647960128049391e-01
-2.863396637022465052e-01,-5.827473115304361295e-01,1.456106302049754164e-01
-1.826139745988984431e-01,-2.941070487692534208e-01,-7.440222969320858803e-02
-3.552354565428191002e-02,-1.022009510335894211e-01,-1.325756772467727163e-01
1.626857362301047383e-01,-2.432619706457334052e-02,2.903159552673784116e-05
3.578301485468182719e-01,6.038539253694473474e-02,1.211954914926988425e-01
5.774011670707897004e-01,9.060830390551759261e-02,3.335232868118351846e-01
8.298930592414009988e-01,4.739428850420697448e-02,6.687134552097858675e-01
1.062961099195028014e+00,4.750925726529921234e-02,9.314128202552419689e-01
-6.147211349268184577e-01,-1.047402692191191642e+00,7.414415003765743029e-01
-5.277990055653197787e-01,-7.212785582703041820e-01,4.587169017737890986e-01
-4.517451057300130857e-01,-3.709105545056186615e-01,1.354315183909352571e-01
-3.037760837015308635e-01,-1.809643432739678759e-01,8.053702486553676598e-02
-1.356439197550396436e-01,-3.599625723963363610e-02,1.008924014183693874e-01
4.480457187099565197e-03,1.714490833567178241e-01,1.672129386339272356e-02
2.292152658884514249e-01,1.901530755987310417e-01,2.483206164841378072e-01
4.322789706475639315e-01,2.571990192212240678e-01,3.990422781363393012e-01
6.522245285642541690e-01,2.865864417673940068e-01,6.127678734985374520e-01
9.379357808104095140e-01,1.692696628916048329e-01,1.071934381493343746e+00
-7.523536604924936366e-01,-8.975192616274078050e-01,8.349123238734247332e-01
-6.706986186694604557e-01,-5.596457821088117734e-01,5.325306869691731615e-01
-5.677207425275027086e-01,-2.693373653893638142e-01,3.097269511045218637e-01
-4.590280767357952652e-01,8.223012091557013736e-03,1.082511005673049143e-01
-3.547942432060795515e-01,2.957297519265798535e-01,-1.098653385140926086e-01
-1.450339402879463613e-01,3.478375261101362970e-01,6.584836770544588713e-02
7.604847009876689046e-02,3.746889603199887731e-01,2.838167542464805626e-01
2.939234534064282256e-01,4.086952346489801657e-01,4.898148599669212011e-01
5.479517208422658436e-01,3.620540113596123488e-01,8.307388589141891932e-01
7.905045781923281112e-01,3.410111017471206818e-01,1.128836044383654258e+00
-9.400845592076911839e-01,-6.358808819161145820e-01,7.414134733997127524e-01
-8.436311704601373584e-01,-3.310182249861311488e-01,4.942600190858027487e-01
-7.443062632245719401e-01,-3.256109347403146614e-02,2.578232176640260498e-01
-6.822384493826577634e-01,3.490058141811921422e-01,-1.176589492451959318e-01
-4.417551522192695312e-01,3.325794934692853366e-01,1.727145324582805008e-01
-3.264796897152933974e-01,5.954555595528614464e-01,-4.193986292852669440e-03
-1.048349742056368661e-01,6.210526540213342495e-01,2.158729515363627394e-01
1.179807600931790379e-01,6.440375449988334777e-01,4.403101909833386784e-01
3.675447756522799980e-01,6.073547736531521579e-01,7.645733751088403807e-01
6.245102629915026959e-01,5.541614641321985779e-01,1.116459227968543244e+00
-1.146382302268924347e+00,-3.328252541930324937e-01,5.786222164903740417e-01
-1.076431314157284547e+00,3.115657665730642290e-02,2.325604564806870445e-01
-9.536779727669449924e-01,2.773516624586960244e-01,8.355976166630940671e-02
-8.473056293791754179e-01,5.600880066618089126e-01,-1.265756499723434403e-01
-6.914805071308232076e-01,7.325095354462082264e-01,-1.521507783278346904e-01
-4.945627504092720006e-01,8.132653076962895744e-01,-2.436610701249081190e-02
-3.041482792881207153e-01,9.085280250999647755e-01,7.914797202602991133e-02
-6.263728880717644998e-02,8.898092184803827465e-01,3.733568574052252287e-01
1.545351229259696590e-01,9.253827263470404407e-01,5.767329303136210505e-01
4.107804291740729252e-01,8.737959320910604344e-01,9.259310307506158910e-01
-1.402711057021219121e+00,8.183505878890273699e-02,2.291126819959203309e-01
-1.256506059063421166e+00,2.757162964080555057e-01,1.676347610129539367e-01
-1.174295265321293247e+00,6.123500544835682735e-01,-1.326727814928326810e-01
-1.044262002762037511e+00,8.423057462910259474e-01,-2.545044406297183315e-01
-8.996407357575955110e-01,1.039719828612089669e+00,-3.218929259961292866e-01
-7.035652584567693157e-01,1.122354482109475970e+00,-1.972516842731011355e-01
-5.622787783985173649e-01,1.327207507497152772e+00,-2.770857639551101981e-01
-3.315869373631779582e-01,1.332623087287768904e+00,-2.325449400159307345e-02
-5.931474856419549635e-02,1.245284963560051805e+00,3.857567464022221282e-01
2.047798077422684493e-01,1.176188767581581640e+00,7.642486468583324921e-01
